Date,ACCELYA.NS,CASTROLIND.NS,COALINDIA.NS,DEEPAKNTR.NS,GSFC.NS,GSPL.NS,MGL.NS,NMDC.NS,SPIC.NS,SUNTV.NS,TATAMETALI.NS
2010-01-04,58.73357391357422,34.85651397705078,,,24.479652404785156,88.66342163085938,,246.6487579345703,16.049999237060547,255.0889892578125,141.53640747070312
2010-01-05,58.67110824584961,35.069820404052734,,,27.044599533081055,90.77339172363281,,245.7830047607422,16.850000381469727,255.5270538330078,145.92739868164062
2010-01-06,58.67110824584961,34.631561279296875,,,27.388681411743164,90.36935424804688,,246.53334045410156,16.950000762939453,253.70164489746094,150.4647674560547
2010-01-07,61.607765197753906,34.76301574707031,,,27.069625854492188,89.15723419189453,,242.31997680664062,16.799999237060547,254.2493133544922,153.05059814453125
2010-01-08,61.29535675048828,34.83607864379883,,,26.738061904907227,89.24702453613281,,242.1468505859375,17.649999618530273,262.09869384765625,153.4408721923828
2010-01-11,63.63844680786133,36.013526916503906,,,26.512845993041992,88.5736312866211,,250.25595092773438,18.549999237060547,270.7149353027344,149.63536071777344
2010-01-12,61.57654571533203,36.14793014526367,,,25.662029266357422,85.4311294555664,,245.66746520996094,17.799999237060547,268.52435302734375,144.8052520751953
2010-01-13,65.0443115234375,36.44009780883789,,,26.47530746459961,85.47602081298828,,245.60980224609375,17.350000381469727,269.40057373046875,149.44020080566406
2010-01-14,63.95085906982422,36.77608108520508,,,27.000816345214844,88.52873229980469,,246.27359008789062,17.649999618530273,266.7353820800781,157.34397888183594
2010-01-15,63.70094680786133,36.2618522644043,,,26.544126510620117,87.27173614501953,,276.632080078125,17.149999618530273,270.20379638671875,159.14918518066406
2010-01-18,62.669979095458984,36.24142074584961,,,26.29388427734375,87.63088989257812,,304.104736328125,18.049999237060547,271.77362060546875,155.0509033203125
2010-01-19,61.045433044433594,36.282325744628906,,,27.9642333984375,88.03492736816406,,320.8424072265625,18.799999237060547,270.6053466796875,151.7820587158203
