Security Code,Issuer Name,Coupon (%),Maturity Date,LTP,Weighted Average Price,Weighted Average Yield,Turnover (Rs. Lakh),ISIN No.,Face Value
1015UPCL27,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2027,104.2500,104.2500,9.4500,30.00,INE540P07343,1000000.00
1290CIFCL99,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LTD,12.9000,30/10/2099,108.0100,108.0100,9.1000,25.00,INE121A08NB2,500000.00
0RRVPN31129,RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LTD,0.0000,31/01/2029,55.0600,55.0600,8.0000,25.00,INE572F11299,500000.00
0RRVPNL2025,RAJASTHAN RAJYA VIDYUT PRASARAN NIGAM LIMITED,0.0000,31/01/2025,72.1300,71.6700,7.4800,20.00,INE572F11257,500000.00
975UPCL24,U.P. POWER CORPORATION LIMITED,9.7500,18/10/2024,101.3800,101.3800,9.5500,20.00,INE540P07236,1000000.00
1270CHOLA99,CHOLAMANDALAM INVESTMENT AND FIN. CO. LTD,12.7000,14/12/2022,105.0700,105.0700,9.1000,20.00,INE121A08MT6,1000000.00
1096ME31,MEGHALAYA ENERGY CORPORATION LTD,10.9600,17/02/2031,110.7400,110.7500,8.8600,20.00,INE760I07078,1000000.00
875NHAI2029,NATIONAL HIGHWAYS AUTHORITY OF INDIA,8.7500,05/02/2029,125.3200,125.3200,4.5500,19.47,INE906B07DF8,1000.00
901NHB2034,NATIONAL HOUSING BANK,9.0100,13/01/2034,139.8700,139.8700,4.5500,18.00,INE557F07132,5000.00
955IFCI25,IFCI LIMITED,9.5500,05/03/2025,95.4000,95.4000,11.0300,10.00,INE039A09LG7,1000000.00
915PNB2099,PUNJAB NATIONAL BANK,9.1500,31/12/2099,103.1500,103.1500,8.1300,10.00,INE160A08076,1000000.00
955CB2025,CANARA BANK,9.5500,31/12/2099,103.5000,103.5000,8.4200,10.00,INE476A08035,1000000.00
1250CIF2020,CHOLAMANDALAM INVESTMENT AND FIN. CO. LTD,12.5000,27/12/2023,107.5800,107.5800,9.1000,10.00,INE121A08ND8,1000000.00
1090PSBPERP,PUNJAB AND SIND BANK,10.9000,31/12/9999,99.9200,99.9200,11.0000,10.00,INE608A08025,1000000.00
815BFL27,BAJAJ FINANCE LIMITED,8.1500,22/06/2027,105.4400,105.4400,7.0200,10.00,INE296A08847,1000000.00
950INDUSINDPERP,INDUSIND BANK LIMITED,9.5000,22/03/2022,98.8500,98.8500,10.8000,10.00,INE095A08066,1000000.00
1015UPCL28,U.P. POWER CORPORATION LIMITED,10.1500,20/01/2028,107.4700,107.4700,8.8800,10.00,INE540P07350,1000000.00
1032APCRDA28,ANDHRA PRADESH CAPITAL REGION DEVELOPMENT AUTHORITY,10.3200,16/08/2028,108.0100,108.0100,9.0500,10.00,INE01E708057,200000.00
1060SHFL23,,10.6000,09/05/2023,104.0600,104.0600,9.0000,10.00,INE432R08032,100000.00
1025STFCL24A,SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,10.2500,27/12/2024,104.0000,104.0000,9.3300,10.00,INE721A08DE4,1000000.00
