SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
532785,RUCHIRA PAP ,B ,Q,64.75,65.00,62.60,63.80,63.30,62.90,176,5511,352126.00,,INE803H01014,01-Apr-21,,
532790,TANLA       ,B ,Q,832.00,857.40,821.55,857.40,857.40,816.60,1157,21880,18547046.00,,INE483C01032,01-Apr-21,,
532794,ZEEMEDIA    ,B ,Q,6.36,6.59,6.36,6.49,6.46,6.38,820,131933,856879.00,,INE966H01019,01-Apr-21,,
532795,SITINET     ,B ,Q,0.88,0.89,0.85,0.87,0.87,0.87,477,1929874,1676107.00,,INE965H01011,01-Apr-21,,
532796,LUMAX TECH  ,B ,Q,168.40,168.40,161.60,163.15,163.30,160.35,1321,33162,5445039.00,,INE872H01027,01-Apr-21,,
532797,AUTOIND     ,B ,Q,41.30,42.55,41.30,42.55,42.55,40.55,42,8144,346020.00,,INE718H01014,01-Apr-21,,
532798,NTWK MED INV,A ,Q,36.60,38.50,36.60,37.90,37.90,36.45,746,124772,4668463.00,,INE870H01013,01-Apr-21,,
532799,HUBTOWN     ,T ,Q,15.70,15.75,15.20,15.75,15.75,15.00,8,892,14028.00,,INE703H01016,01-Apr-21,,
532800,TV18BRDCST  ,A ,Q,29.25,29.35,28.55,29.20,29.20,28.75,569,336709,9782186.00,,INE886H01027,01-Apr-21,,
532801,CAMBRIDGE   ,B ,Q,26.00,26.65,25.75,26.65,26.65,25.50,5,631,16723.00,,INE627H01017,01-Apr-21,,
532804,TECHNOCRAFT ,B ,Q,391.95,402.25,390.15,393.05,392.45,393.50,160,1899,745318.00,,INE545H01011,01-Apr-21,,
532805,REDINGTON   ,A ,Q,191.00,192.55,182.95,183.65,182.95,190.70,599,23016,4279423.00,,INE891D01026,01-Apr-21,,
532806,AI CHAMPDNY ,XT,Q,10.28,10.28,10.28,10.28,10.28,10.28,1,6,61.00,,INE768E01024,01-Apr-21,,
532807,CINELINE    ,B ,Q,31.45,32.80,31.05,32.60,32.60,31.45,129,4862,156805.00,,INE704H01022,01-Apr-21,,
532808,PGIL        ,B ,Q,169.80,171.80,169.80,170.90,170.90,168.65,9,106,18062.00,,INE940H01014,01-Apr-21,,
532809,FSL         ,A ,Q,114.20,120.85,114.20,118.00,118.00,113.90,3485,457246,54085715.00,,INE684F01012,01-Apr-21,,
532810,POWER FINAN ,A ,Q,114.85,114.85,113.50,114.45,114.60,113.65,939,168742,19273644.00,,INE134E01011,01-Apr-21,,
532811,AHLUWALIA CO,A ,Q,302.50,307.95,295.00,303.35,303.00,299.25,96,597,180626.00,,INE758C01029,01-Apr-21,,
532812,TRANSWARRANT,T ,Q,2.25,2.25,2.25,2.25,2.25,2.27,1,100,225.00,,INE804H01012,01-Apr-21,,
532813,C & C CONSTR,Z ,Q,4.40,4.40,4.12,4.40,4.40,4.27,11,9400,40550.00,,INE874H01015,01-Apr-21,,
532814,INDIAN BANK ,A ,Q,117.25,119.50,117.00,118.25,118.25,116.25,1034,85566,10109810.00,,INE562A01011,01-Apr-21,,
532815,SMS PHARMACE,B ,Q,124.95,126.60,123.35,124.80,125.15,124.40,170,5311,661981.00,,INE812G01025,01-Apr-21,,
532817,ORIENTAL    ,B ,Q,6.15,6.21,6.01,6.04,6.01,6.15,28,5100,30777.00,,INE998H01012,01-Apr-21,,
532819,MINDTREE LTD,A ,Q,2094.00,2111.45,2054.45,2074.75,2074.75,2084.50,2968,58177,121231744.00,,INE018I01017,01-Apr-21,,
532820,ELAND       ,X ,Q,4.36,4.36,4.03,4.27,4.29,4.19,24,5917,24788.00,,INE311H01018,01-Apr-21,,
532822,IDEA        ,A ,Q,9.30,10.12,9.22,9.98,9.98,9.25,74373,74768708,718224854.00,,INE669E01016,01-Apr-21,,
