SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
532764,GEECEE      ,B ,Q,103.40,112.00,103.40,108.05,108.05,102.00,213,10362,1138515.00,,INE916G01016,03-May-21,,
532766,RICHA IND   ,Z ,Q,0.56,0.56,0.56,0.56,0.56,0.54,2,280,156.00,,INE516H01012,03-May-21,,
532767,GAYATRI PROJ,B ,Q,28.20,31.80,28.00,30.20,30.20,28.00,1151,197804,6036660.00,,INE336H01023,03-May-21,,
532768,FIEM INDS   ,B ,Q,559.95,595.45,559.95,589.40,591.00,595.45,139,1109,652406.00,,INE737H01014,03-May-21,,
532771,JHS SVEN    ,B ,Q,20.40,20.40,19.10,19.20,19.20,20.10,248,11793,228770.00,,INE544H01014,03-May-21,,
532772,DCBBANK     ,A ,Q,90.80,90.80,89.00,89.80,89.80,90.70,2003,295940,26596448.00,,INE503A01015,03-May-21,,
532773,GLOBAL VECT ,Z ,Q,43.50,43.50,40.60,43.50,43.50,41.45,39,6322,273357.00,,INE792H01019,03-May-21,,
532774,INSPIRISYS  ,B ,Q,47.95,49.35,46.00,48.55,48.00,48.00,186,6459,308631.00,,INE020G01017,03-May-21,,
532775,GTL INFRAST ,B ,Q,0.65,0.68,0.65,0.68,0.68,0.65,738,5908959,3957862.00,,INE221H01019,03-May-21,,
532776,SHIVAM AUTO ,B ,Q,18.50,19.40,18.25,19.10,19.30,18.70,188,26870,510878.00,,INE637H01024,03-May-21,,
532777,INFO EDGE   ,A ,Q,4846.40,4898.60,4826.00,4872.45,4872.45,4920.80,3397,23099,112132870.00,,INE663F01024,03-May-21,,
532779,TORNT POWER ,A ,Q,398.00,405.00,388.30,395.15,396.00,396.40,835,39657,15614898.00,,INE813H01021,03-May-21,,
532780,PARSVNATH   ,B ,Q,7.91,7.91,7.62,7.64,7.62,7.90,27,8187,63203.00,,INE561H01026,03-May-21,,
532782,SUTLEJ TEXT ,B ,Q,42.50,43.65,42.00,43.05,42.95,41.20,255,10442,448759.00,,INE645H01027,03-May-21,,
532783,DAAWAT      ,A ,Q,69.00,82.20,69.00,79.20,79.20,72.55,3356,802135,62153525.00,,INE818H01020,03-May-21,,
532784,SOBHA       ,A ,Q,485.95,494.90,485.95,492.45,491.55,485.95,337,9279,4551864.00,,INE671H01015,03-May-21,,
532785,RUCHIRA PAP ,B ,Q,62.45,64.00,61.55,62.75,63.00,63.65,341,15187,957321.00,,INE803H01014,03-May-21,,
532790,TANLA       ,B ,Q,887.00,888.65,871.25,877.15,872.00,883.60,487,8036,7050923.00,,INE483C01032,03-May-21,,
532794,ZEEMEDIA    ,B ,Q,6.35,6.49,5.99,6.28,6.28,6.47,1559,503047,3139512.00,,INE966H01019,03-May-21,,
532795,SITINET     ,B ,Q,0.81,0.85,0.80,0.83,0.84,0.83,501,1941378,1599246.00,,INE965H01011,03-May-21,,
532796,LUMAX TECH  ,B ,Q,145.65,145.65,143.00,143.10,143.60,146.40,155,4451,640715.00,,INE872H01027,03-May-21,,
532797,AUTOIND     ,B ,Q,35.75,35.75,34.05,34.95,34.95,35.25,21,1314,45919.00,,INE718H01014,03-May-21,,
532798,NTWK MED INV,A ,Q,38.05,40.75,38.05,39.75,39.75,39.55,843,138004,5503700.00,,INE870H01013,03-May-21,,
532799,HUBTOWN     ,B ,Q,17.00,17.00,15.60,16.45,16.45,16.20,318,20119,325351.00,,INE703H01016,03-May-21,,
532800,TV18BRDCST  ,A ,Q,33.30,34.50,33.25,33.50,33.50,33.95,927,332341,11289813.00,,INE886H01027,03-May-21,,
532801,CAMBRIDGE   ,B ,Q,34.00,34.00,31.10,31.10,31.10,32.70,44,3734,117133.00,,INE627H01017,03-May-21,,
532804,TECHNOCRAFT ,B ,Q,391.25,399.40,385.00,388.65,385.00,391.25,85,891,346455.00,,INE545H01011,03-May-21,,
532805,REDINGTON   ,A ,Q,180.90,186.45,177.20,178.35,178.85,178.35,513,18644,3388537.00,,INE891D01026,03-May-21,,
532806,AI CHAMPDNY ,XT,Q,9.74,10.75,9.74,10.69,10.69,10.25,6,213,2105.00,,INE768E01024,03-May-21,,
532807,CINELINE    ,B ,Q,31.50,32.35,30.75,31.40,31.60,31.70,72,3724,116803.00,,INE704H01022,03-May-21,,
532808,PGIL        ,B ,Q,173.00,180.50,173.00,180.50,180.50,179.00,19,98,17449.00,,INE940H01014,03-May-21,,
532809,FSL         ,A ,Q,112.00,124.70,112.00,123.25,123.25,112.70,5560,753316,88712317.00,,INE684F01012,03-May-21,,
532810,POWER FINAN ,A ,Q,107.90,108.25,106.25,106.95,106.95,108.40,1371,224748,24065899.00,,INE134E01011,03-May-21,,
532811,AHLUWALIA CO,A ,Q,281.20,288.00,281.20,283.95,283.50,284.65,188,855,242840.00,,INE758C01029,03-May-21,,
532813,C & C CONSTR,Z ,Q,4.43,4.43,4.40,4.42,4.42,4.23,9,4408,19456.00,,INE874H01015,03-May-21,,
532814,INDIAN BANK ,A ,Q,110.00,110.40,107.00,108.75,108.75,109.95,1207,129072,14058735.00,,INE562A01011,03-May-21,,
532815,SMS PHARMACE,B ,Q,147.00,152.00,146.00,149.25,149.75,150.45,809,28460,4244160.00,,INE812G01025,03-May-21,,
532817,ORIENTAL    ,B ,Q,7.39,7.45,7.24,7.26,7.24,7.35,9,2870,21130.00,,INE998H01012,03-May-21,,
532819,MINDTREE LTD,A ,Q,2122.30,2124.70,2082.05,2117.55,2117.55,2105.55,1298,21453,45219689.00,,INE018I01017,03-May-21,,
532820,ELAND       ,X ,Q,4.19,4.48,3.98,4.19,4.24,4.19,35,7635,31893.00,,INE311H01018,03-May-21,,
532822,IDEA        ,A ,Q,8.25,8.53,8.25,8.45,8.45,8.36,36573,30833621,258403576.00,,INE669E01016,03-May-21,,
532826,RAJ TELE    ,B ,Q,37.30,41.95,37.30,38.15,38.10,36.35,327,28401,1115735.00,,INE952H01027,03-May-21,,
532827,PAGE INDUSTR,A ,Q,29387.65,29938.10,29322.50,29691.85,29687.95,29654.20,261,630,18719839.00,,INE761H01022,03-May-21,,
532828,AMD INDUS   ,B ,Q,18.15,18.45,17.95,17.95,17.95,18.00,6,403,7314.00,,INE005I01014,03-May-21,,
532829,LEHAR       ,XT,Q,27.00,28.60,26.60,27.75,28.00,28.00,46,8341,225471.00,,INE976H01018,03-May-21,,
532830,ASTRAL POLY ,A ,Q,1569.00,1614.45,1557.15,1592.65,1589.00,1581.85,4058,37885,59959872.00,,INE006I01046,03-May-21,,
532832,INDBUL REAL ,A ,Q,77.10,81.20,76.50,79.25,79.25,77.30,1913,367667,29120726.00,,INE069I01010,03-May-21,,
532834,CAMLINFINE  ,A ,Q,148.05,169.00,148.05,166.80,169.00,154.00,5679,259594,42561812.00,,INE052I01032,03-May-21,,
532835,ICRA        ,A ,Q,3350.00,3370.00,3299.55,3322.35,3320.00,3353.25,126,339,1132307.00,,INE725G01011,03-May-21,,
