tradingsymbol,amc,name,purchase_allowed,redemption_allowed,minimum_purchase_amount,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_redemption_quantity,redemption_quantity_multiplier,dividend_type,scheme_type,plan,settlement_type,last_price,last_price_date
INF209K01983,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,12.3823,2021-04-08
INF209K01DL8,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,reinvest,Debt,regular,T1,12.3823,2021-04-08
INF209K01N90,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,12.481,2021-04-08
INF209K01S38,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,direct,T1,86.9958,2021-04-08
INF209KA1KS2,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Corporate Bond Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,12.4862,2021-04-08
INF209KA1KT0,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,13.3993,2021-04-08
INF204K01UL3,NipponIndiaMutualFund_MF,Nippon India Liquid Fund - Retail Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,4541.4264,2021-04-08
INF204K01UM1,NipponIndiaMutualFund_MF,Nippon India Liquid Fund,0,1,10000.0,1.0,10000.0,0.001,0.001,reinvest,Debt,regular,T1,1528.74,2021-04-08
INF204K01UN9,NipponIndiaMutualFund_MF,Nippon India Liquid Fund,0,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,regular,T1,5000.8782,2021-04-08
INF204K01UO7,NipponIndiaMutualFund_MF,Nippon India Liquid Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,1585.8542,2021-04-08
INF204K01UQ2,NipponIndiaMutualFund_MF,Nippon India Liquid Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,1004.0971,2021-04-08
INF204K01UT6,NipponIndiaMutualFund_MF,Nippon India Liquid Fund - Retail Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,1327.8412,2021-04-08
