tradingsymbol,amc,name,purchase_allowed,redemption_allowed,minimum_purchase_amount,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_redemption_quantity,redemption_quantity_multiplier,dividend_type,scheme_type,plan,settlement_type,last_price,last_price_date
INF200K01UZ1,SBIMutualFund_MF,SBI Magnum Medium Duration Fund - Direct Plan,1,1,5000.0,1.0,1000.0,100.0,0.001,payout,Debt,direct,T2,16.1832,2021-04-08
INF200K01VB0,SBIMutualFund_MF,SBI Magnum Medium Duration Fund - Direct Plan,1,1,5000.0,1.0,1000.0,1.0,0.001,growth,Debt,direct,T2,41.6323,2021-04-08
INF090I01965,FRANKLINTEMPLETON,Franklin India Focused Equity Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,26.6002,2021-04-08
INF090I01973,FRANKLINTEMPLETON,Franklin India Focused Equity Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,26.6002,2021-04-08
INF090I01981,FRANKLINTEMPLETON,Franklin India Focused Equity Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,52.9335,2021-04-08
INF090I01IU6,FRANKLINTEMPLETON,Franklin India Focused Equity Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,29.9064,2021-04-08
INF090I01IW2,FRANKLINTEMPLETON,Franklin India Focused Equity Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,57.6025,2021-04-08
INF179K01AZ9,HDFCMutualFund_MF,HDFC TaxSaver - Regular Plan,0,1,500.0,500.0,500.0,0.001,0.001,payout,Equity,regular,T3,47.209,2021-04-07
INF179K01BB8,HDFCMutualFund_MF,HDFC TaxSaver - Regular Plan,0,1,500.0,500.0,500.0,0.001,0.001,growth,Equity,regular,T3,587.325,2021-04-07
INF179K01YQ8,HDFCMutualFund_MF,HDFC TaxSaver - Direct Plan,1,1,500.0,500.0,500.0,0.001,0.001,payout,Equity,direct,T3,57.038,2021-04-07
INF179K01YS4,HDFCMutualFund_MF,HDFC TaxSaver - Direct Plan,1,1,500.0,500.0,500.0,0.001,0.001,growth,Equity,direct,T3,617.934,2021-04-07
INF760K01167,CANARAROBECOMUTUALFUND_MF,Canara Robeco Emerging Equities,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,131.07,2021-04-08
INF760K01175,CANARAROBECOMUTUALFUND_MF,Canara Robeco Emerging Equities,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,54.64,2021-04-08
INF760K01183,CANARAROBECOMUTUALFUND_MF,Canara Robeco Emerging Equities,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,54.64,2021-04-08
INF760K01EG8,CANARAROBECOMUTUALFUND_MF,Canara Robeco Emerging Equities - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,79.27,2021-04-08
INF760K01EI4,CANARAROBECOMUTUALFUND_MF,Canara Robeco Emerging Equities - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,143.12,2021-04-08
INF740K01169,DSP_MF,DSP Tax Saver Fund,0,1,500.0,1.0,500.0,0.001,0.001,payout,Equity,regular,T3,17.678,2021-04-08
INF740K01185,DSP_MF,DSP Tax Saver Fund,0,1,500.0,1.0,500.0,0.001,0.001,growth,Equity,regular,T3,66.648,2021-04-08
INF740K01OK1,DSP_MF,DSP Tax Saver Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,growth,Equity,direct,T3,71.107,2021-04-08
INF740K01OL9,DSP_MF,DSP Tax Saver Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,payout,Equity,direct,T3,49.079,2021-04-08
INF209K01BS7,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Equity Hybrid 95 Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Hybrid,regular,T3,143.53,2021-04-08
INF209K01BT5,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Equity Hybrid 95 Fund,0,1,100.0,1.0,100.0,0.001,0.001,growth,Hybrid,regular,T3,927.27,2021-04-08
INF209K01EE1,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Equity Hybrid 95 Fund,0,1,100.0,1.0,100.0,0.001,0.001,reinvest,Hybrid,regular,T3,143.53,2021-04-08
INF209K01ZC0,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Hybrid,direct,T3,1004.27,2021-04-08
INF209KA1LH3,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Hybrid,direct,T3,237.11,2021-04-08
INF204K01G11,NipponIndiaMutualFund_MF,Nippon India Money Market Fund - Direct Plan,0,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,direct,T1,1895.4133,2021-04-08
INF204K01UY6,NipponIndiaMutualFund_MF,Nippon India Money Market Fund,0,1,500.0,1.0,500.0,0.001,0.001,reinvest,Debt,regular,T1,1003.8103,2021-04-08
INF204K01UZ3,NipponIndiaMutualFund_MF,Nippon India Money Market Fund,0,1,500.0,1.0,500.0,0.001,0.001,reinvest,Debt,regular,T1,1004.6489,2021-04-08
INF204K01VA4,NipponIndiaMutualFund_MF,Nippon India Money Market Fund,0,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,regular,T1,3198.6365,2021-04-08
INF204K01VB2,NipponIndiaMutualFund_MF,Nippon India Money Market Fund,0,1,500.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1010.9382,2021-04-08
INF204K01VD8,NipponIndiaMutualFund_MF,Nippon India Money Market Fund,0,1,500.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1012.0943,2021-04-08
INF204K01ZP3,NipponIndiaMutualFund_MF,Nippon India Money Market Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,direct,T1,3223.3741,2021-04-08
INF204K01ZQ1,NipponIndiaMutualFund_MF,Nippon India Money Market Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1010.9212,2021-04-08
INF204K01ZS7,NipponIndiaMutualFund_MF,Nippon India Money Market Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1012.096,2021-04-08
INF789F01BF5,UTIMUTUALFUND_MF,UTI Money Market Fund - Retail Plan,0,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,regular,T1,5589.4571,2021-04-08
INF789F01PX8,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,regular,T1,2376.6681,2021-04-08
INF789F01PY6,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1043.584,2021-04-08
INF789F01XV6,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,direct,T1,2397.1101,2021-04-08
INF789F01XW4,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1042.578,2021-04-08
INF789FA1L05,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1160.6235,2021-04-08
INF789FA1L21,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1037.2469,2021-04-08
INF789FA1L47,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1140.3316,2021-04-08
INF789FA1L62,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1335.4943,2021-04-08
INF789FA1L88,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1415.5993,2021-04-08
INF789FA1M04,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1101.9787,2020-11-12
INF789FA1M12,UTIMUTUALFUND_MF,UTI Money Market Fund,0,1,20000.0,1.0,500.0,0.001,0.001,reinvest,Debt,regular,T1,1101.9787,2020-11-12
INF789FA1M20,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1252.6504,2021-04-08
INF789FA1M46,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1173.369,2021-04-08
INF789FA1M61,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1271.7295,2021-04-08
INF789FA1N03,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1422.7941,2021-04-08
INF789FA1N29,UTIMUTUALFUND_MF,UTI Money Market Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1228.9719,2021-04-08
INF189A01038,UTIMUTUALFUND_MF,UTI Mastershare,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,38.0535,2021-04-08
INF789F01976,UTIMUTUALFUND_MF,UTI Mastershare,0,1,100.0,1.0,100.0,0.001,0.001,growth,Equity,regular,T3,163.5601,2021-04-08
INF789F01UQ2,UTIMUTUALFUND_MF,UTI Mastershare - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,42.4108,2021-04-08
INF789F01US8,UTIMUTUALFUND_MF,UTI Mastershare - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Equity,direct,T3,172.6624,2021-04-08
INF846K01B02,AXISMUTUALFUND_MF,Axis Flexi Cap Fund - Direct Plan,1,1,5000.0,1.0,100.0,0.001,0.001,payout,Equity - Flexi Cap,direct,T3,13.64,2021-04-08
INF846K01B28,AXISMUTUALFUND_MF,Axis Flexi Cap Fund - Direct Plan,1,1,5000.0,1.0,100.0,0.001,0.001,growth,Equity - Flexi Cap,direct,T3,16.56,2021-04-08
INF846K01B36,AXISMUTUALFUND_MF,Axis Flexi Cap Fund,0,1,5000.0,1.0,100.0,0.001,0.001,payout,Equity - Flexi Cap,regular,T3,12.98,2021-04-08
INF846K01B51,AXISMUTUALFUND_MF,Axis Flexi Cap Fund,0,1,5000.0,1.0,100.0,0.001,0.001,growth,Equity - Flexi Cap,regular,T3,15.72,2021-04-08
INF879O01019,PPFAS_MF,Parag Parikh Flexi Cap Fund,0,1,1000.0,1.0,1000.0,50.0,0.001,growth,Equity - Flexi Cap,regular,T3,39.4238,2021-04-08
INF879O01027,PPFAS_MF,Parag Parikh Flexi Cap Fund - Direct Plan,1,1,1000.0,1.0,1000.0,50.0,0.001,growth,Equity - Flexi Cap,direct,T3,41.4326,2021-04-08
INF209K01942,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Short Term Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,36.6543,2021-04-08
INF209K01975,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Short Term Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,16.9746,2021-04-08
INF209K01BU3,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Short Term Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.629,2021-04-08
INF209K01DK0,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Short Term Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,16.9746,2021-04-08
INF209K01R96,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Short Term Fund - Direct Plan,1,1,1000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,10.9585,2021-04-08
INF209K01XK8,BirlaSunLifeMutualFund_MF,Aditya Birla Sun Life Short Term Fund - Direct Plan,1,1,1000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,38.5574,2021-04-08
INF090I01726,FRANKLINTEMPLETON,Franklin India Prima Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,66.9237,2021-04-08
INF090I01734,FRANKLINTEMPLETON,Franklin India Prima Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,66.9237,2021-04-08
INF090I01809,FRANKLINTEMPLETON,Franklin India Prima Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,1274.8865,2021-04-08
INF090I01FH9,FRANKLINTEMPLETON,Franklin India Prima Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,1383.9253,2021-04-08
INF090I01FI7,FRANKLINTEMPLETON,Franklin India Prima Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,75.4644,2021-04-08
INF200K01T28,SBIMutualFund_MF,SBI Small Cap Fund,0,1,5000.0,1.0,1000.0,1.0,0.001,growth,Equity,regular,T3,82.0625,2021-04-08
INF200K01T36,SBIMutualFund_MF,SBI Small Cap Fund,0,1,5000.0,1.0,1000.0,1.0,0.001,payout,Equity,regular,T3,48.4796,2021-04-08
INF200K01T51,SBIMutualFund_MF,SBI Small Cap Fund - Direct Plan,0,1,500.0,1.0,1000.0,1.0,0.001,growth,Equity,direct,T3,89.9964,2021-04-08
INF200K01T69,SBIMutualFund_MF,SBI Small Cap Fund - Direct Plan,0,1,5000.0,1.0,1000.0,100.0,0.001,payout,Equity,direct,T3,61.4256,2021-04-08
INF109K01GU4,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund,0,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,regular,T1,23.6472,2021-04-08
INF109K01GV2,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.8185,2021-04-08
INF109K01GX8,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.4228,2021-04-08
INF109K01V00,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,growth,Debt,direct,T1,25.3412,2021-04-08
INF109K01V18,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,10.7688,2021-04-08
INF109K01V34,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,11.4357,2021-04-08
INF109KB1AD5,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund - Direct Plan,1,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,direct,T1,10.302,2021-04-08
INF109KB1AF0,ICICIPrudentialMutualFund_MF,ICICI Prudential Credit Risk Fund,0,1,100.0,1.0,100.0,0.001,0.001,payout,Debt,regular,T1,10.1216,2021-04-08
INF917K01HF9,L&TMUTUALFUND_MF,L&T Liquid Fund - Direct Plan,1,1,10000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,2820.9409,2021-04-08
INF917K01JB4,L&TMUTUALFUND_MF,L&T Liquid Fund - Daily Div Reinvestment Plan,0,1,10000.0,1.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,1011.7794,2021-04-08
INF917K01JH1,L&TMUTUALFUND_MF,L&T Liquid Fund,0,1,10000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,2808.1991,2021-04-08
INF179KA1FZ3,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,direct,T1,19.2404,2021-04-07
INF179KA1GA4,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.6082,2021-04-07
INF179KA1GC0,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Regular Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,18.2692,2021-04-07
INF179KA1GD8,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Regular Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.4092,2021-04-07
INF179KA1I61,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,16.8657,2021-04-07
INF179KA1I79,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Regular Plan,0,1,5000.0,10.0,1000.0,0.001,0.001,reinvest,Debt,regular,T1,16.822,2021-04-07
INF179KA1I87,HDFCMutualFund_MF,HDFC Credit Risk Debt Fund - Regular Plan,0,1,5000.0,10.0,1000.0,0.001,0.001,payout,Debt,regular,T1,16.822,2021-04-07
INF204KA1T56,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,16.1755,2021-04-08
INF204KA1T72,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,16.176,2021-04-08
INF204KA1T98,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.6521,2021-04-08
INF204KA1U12,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.3786,2021-04-08
INF204KA1U38,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.6446,2021-04-08
INF204KA1U53,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,16.4849,2021-04-08
INF204KA1U61,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund - Direct Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,16.4849,2021-04-08
INF204KA1U79,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,16.4882,2021-04-08
INF204KA1U95,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,10.6759,2021-04-08
INF204KA1V11,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,10.3779,2021-04-08
INF204KA1V37,NipponIndiaMutualFund_MF,Nippon India Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,10.71,2021-04-08
INF174KA1160,KOTAKMAHINDRAMF,Kotak Balanced Advantage Fund,0,1,1000.0,1.0,1000.0,100.0,0.001,payout,Hybrid,regular,T3,13.246,2021-04-08
INF174KA1186,KOTAKMAHINDRAMF,Kotak Balanced Advantage Fund,0,1,1000.0,1.0,1000.0,100.0,0.001,growth,Hybrid,regular,T3,13.245,2021-04-08
INF174KA1194,KOTAKMAHINDRAMF,Kotak Balanced Advantage Fund - Direct Plan,1,1,1000.0,1.0,1000.0,100.0,0.001,payout,Hybrid,direct,T3,13.652,2021-04-08
INF174KA1210,KOTAKMAHINDRAMF,Kotak Balanced Advantage Fund - Direct Plan,1,1,1000.0,1.0,1000.0,100.0,0.001,growth,Hybrid,direct,T3,13.652,2021-04-08
INF194K01649,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund,0,1,100.0,0.01,100.0,0.001,0.001,growth,Hybrid,regular,T3,25.4975,2021-04-08
INF194K01656,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund,0,1,100.0,0.01,100.0,0.001,0.001,payout,Hybrid,regular,T3,12.8445,2021-04-08
INF194K01Y60,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund - Direct Plan,1,1,100.0,0.01,100.0,0.001,0.001,growth,Hybrid,direct,T3,26.7863,2021-04-08
INF194K01Y78,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund - Direct Plan,1,1,100.0,0.01,100.0,0.001,0.001,payout,Hybrid,direct,T3,13.4541,2021-04-08
INF194KA1YD2,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund,0,1,100.0,0.01,100.0,0.001,0.001,payout,Hybrid,regular,T3,10.5193,2021-04-08
INF194KA1YE0,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund,0,1,100.0,0.01,100.0,0.001,0.001,reinvest,Hybrid,regular,T3,10.5193,2021-04-08
INF194KA1YG5,IDFCMUTUALFUND_MF,IDFC Arbitrage Fund - Direct Plan,1,1,100.0,0.01,100.0,0.001,0.001,payout,Hybrid,direct,T3,11.7505,2021-04-08
INF677K01015,L&TMUTUALFUND_MF,L&T India Value Fund - Regular Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,32.842,2021-04-08
INF677K01023,L&TMUTUALFUND_MF,L&T India Value Fund - Regular Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,46.752,2021-04-08
INF677K01213,L&TMUTUALFUND_MF,L&T India Value Fund - Regular Plan,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,32.842,2021-04-08
INF917K01HC6,L&TMUTUALFUND_MF,L&T India Value Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,37.819,2021-04-08
INF917K01HD4,L&TMUTUALFUND_MF,L&T India Value Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,50.083,2021-04-08
INF767K01DL5,LICMUTUALFUND_MF,LIC MF Liquid Fund - Direct Plan,1,1,5000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1010.734,2021-04-08
INF767K01DN1,LICMUTUALFUND_MF,LIC MF Liquid Fund - Direct Plan,1,1,5000.0,1.0,500.0,0.001,0.001,growth,Debt,direct,T1,3739.5554,2021-04-08
INF767K01IQ3,LICMUTUALFUND_MF,LIC MF Liquid Fund,0,1,5000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1000.0002,2021-04-08
INF767K01IR1,LICMUTUALFUND_MF,LIC MF Liquid Fund,0,1,5000.0,1.0,500.0,0.001,0.001,reinvest,Debt,regular,T1,1000.0002,2021-04-08
INF767K01IS9,LICMUTUALFUND_MF,LIC MF Liquid Fund,0,1,5000.0,1.0,500.0,0.001,0.001,growth,Debt,regular,T1,3705.4081,2021-04-08
INF789F01588,UTIMUTUALFUND_MF,UTI Overnight Fund,0,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,regular,T1,1469.2382,2021-04-08
INF789F01604,UTIMUTUALFUND_MF,UTI Overnight Fund,0,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,regular,T1,2795.4802,2021-04-08
INF789FB1S71,UTIMUTUALFUND_MF,UTI Overnight Fund - Direct Plan,1,1,500.0,1.0,500.0,0.001,0.001,growth,Debt,direct,T1,2819.501,2021-04-08
INF789FB1T05,UTIMUTUALFUND_MF,UTI Overnight Fund - Direct Plan,1,1,20000.0,1.0,500.0,0.001,0.001,payout,Debt,direct,T1,1508.8032,2021-04-08
INF205K01189,INVESCOMUTUALFUND_MF,Invesco India Contra Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,63.9,2021-04-08
INF205K01197,INVESCOMUTUALFUND_MF,Invesco India Contra Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,28.68,2021-04-08
INF205K01205,INVESCOMUTUALFUND_MF,Invesco India Contra Fund,0,1,1000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,28.68,2021-04-08
INF205K01LC8,INVESCOMUTUALFUND_MF,Invesco India Contra Fund - Direct Plan,1,1,1000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,35.75,2021-04-08
INF205K01LE4,INVESCOMUTUALFUND_MF,Invesco India Contra Fund - Direct Plan,1,1,1000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,71.19,2021-04-08
INF109K015A5,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,direct,T1,36.3953,2021-04-08
INF109K016A3,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund - Direct Plan,1,1,15000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,10.9518,2021-04-08
INF109K018A9,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund - Direct Plan,1,1,15000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,11.1231,2021-04-08
INF109K01AH4,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Debt,regular,T1,34.0806,2021-04-08
INF109K01B53,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.52,2021-04-08
INF109K01UF6,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,10.5686,2021-04-08
INF109KA10G7,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,direct,T1,14.165,2021-04-08
INF109KA12G3,ICICIPrudentialMutualFund_MF,ICICI Prudential Medium Term Bond Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Debt,regular,T1,12.8109,2021-04-08
INF090I01544,FRANKLINTEMPLETON,Franklin India Smaller Companies Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,regular,T3,27.4782,2021-04-08
INF090I01551,FRANKLINTEMPLETON,Franklin India Smaller Companies Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,reinvest,Equity,regular,T3,27.4782,2021-04-08
INF090I01569,FRANKLINTEMPLETON,Franklin India Smaller Companies Fund,0,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,regular,T3,68.4556,2021-04-08
INF090I01IO9,FRANKLINTEMPLETON,Franklin India Smaller Companies Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,payout,Equity,direct,T3,31.0815,2021-04-08
INF090I01IQ4,FRANKLINTEMPLETON,Franklin India Smaller Companies Fund - Direct Plan,1,1,5000.0,1.0,1000.0,0.001,0.001,growth,Equity,direct,T3,74.747,2021-04-08
